DisNo.,Historic,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,External IDs,Event Name,ISO,Country,Subregion,Region,Location,Origin,Associated Types,OFDA/BHA Response,Appeal,Declaration,Magnitude,Magnitude Scale,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Admin Units,Entry Date,Last Update
1990-0090-BGD,Yes,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,BGD,Bangladesh,Southern Asia,Asia,"Manikganj, Siranjganj, Chandpur districts",,,No,No,No,,Kph,,1990,5.0,2.0,1990,5.0,2.0,19.0,500.0,4000.0,,4500.0,,,42.8807321894041,,2003-07-01,2024-08-29
1990-0095-BGD,Yes,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,BGD,Bangladesh,Southern Asia,Asia,"Habiganj district, Noakhali District (North Eastern)",Heavy rain,,No,No,No,,Km2,Khowai River,1990,3.0,24.0,1990,3.0,30.0,166.0,1600.0,10000.0,,11600.0,,,42.8807321894041,,2005-12-21,2023-09-25
1990-0096-BGD,Yes,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,BGD,Bangladesh,Southern Asia,Asia,South East,,,No,No,No,,Kph,,1990,4.0,22.0,1990,4.0,22.0,54.0,200.0,40000.0,,40200.0,,,42.8807321894041,,2005-12-06,2023-09-25
1990-0421-BGD,Yes,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,BGD,Bangladesh,Southern Asia,Asia,Golfe du Bengale,,,No,No,No,,Kph,,1990,12.0,21.0,1990,12.0,21.0,250.0,,,,,,,42.8807321894041,,2003-07-01,2023-09-25
1990-0424-BGD,Yes,nat-met-ext-col,Natural,Meteorological,Extreme temperature,Cold wave,,,BGD,Bangladesh,Southern Asia,Asia,,,,No,No,No,,°C,,1990,12.0,29.0,1990,12.0,29.0,67.0,,,,,,,42.8807321894041,,2003-07-01,2023-09-25
1990-0576-BGD,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Ofa,BGD,Bangladesh,Southern Asia,Asia,Chittagong,,,No,No,No,,Kph,,1990,10.0,8.0,1990,10.0,8.0,370.0,,13870.0,,13870.0,,,42.8807321894041,,2003-07-01,2023-09-25
1990-0609-BGD,Yes,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,BGD,Bangladesh,Southern Asia,Asia,"Rajshabi division, Sirajganj, Jamalpur, Bogra, Pabna",Heavy rain,,No,No,No,23610.0,Km2,"Jamuna (Brahmaputra) River, Padma (Ganges) River, Mahananda, Pagla and Punarbhaba Rivers",1990,7.0,14.0,1990,9.0,6.0,65.0,,2000000.0,,2000000.0,6000.0,13992.0,42.8807321894041,,2006-07-19,2023-09-25
1990-0706-BGD,Yes,nat-met-ext-col,Natural,Meteorological,Extreme temperature,Cold wave,,,BGD,Bangladesh,Southern Asia,Asia,,,,No,No,No,,°C,,1990,1.0,1.0,1990,1.0,1.0,50.0,,,,,,,42.8807321894041,,2005-12-06,2023-09-25
1991-0086-BGD,Yes,nat-bio-epi-dis,Natural,Biological,Epidemic,Infectious disease (General),,,BGD,Bangladesh,Southern Asia,Asia,Patueklali (Barisal division),,,No,No,No,,Vaccinated,,1991,4.0,,1991,4.0,,1000.0,,1500000.0,,1500000.0,,,44.6967218406791,,2003-07-01,2023-09-25
1991-0120-BGD,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Gorky (02B),BGD,Bangladesh,Southern Asia,Asia,"Cox's Bazar, Chittagong, Patuakhali, Noakhali, Bhola, Barguna",,Flood,Yes,No,No,21360.0,Kph,,1991,4.0,29.0,1991,5.0,10.0,138866.0,138849.0,15000000.0,300000.0,15438849.0,1780000.0,3982395.0,44.6967218406791,,2007-08-08,2023-09-25
1991-0170-BGD,Yes,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,BGD,Bangladesh,Southern Asia,Asia,Rajskabi division,,,No,No,No,,Km2,,1991,7.0,,1991,7.0,,,,1590000.0,,1590000.0,,,44.6967218406791,,2003-07-01,2023-09-25
