Unnamed: 0,Station Names,YEAR,Month,Max Temp,Min Temp,Rainfall,Relative Humidity,Wind Speed,Cloud Coverage,Bright Sunshine,Station Number,X_COR,Y_COR,LATITUDE,LONGITUDE,ALT,Period
41,Barisal,1990,1,29.9,12.5,0,83,0.3,0.5,7.1,41950,536809.8,510151.9,22.7,90.36,4,1990.01
42,Barisal,1991,1,28.6,12.1,10,82,0.2,1.6,6.8,41950,536809.8,510151.9,22.7,90.36,4,1991.01
43,Barisal,1992,1,28,11.6,4,81,0.2,0.6,7,41950,536809.8,510151.9,22.7,90.36,4,1992.01
44,Barisal,1993,1,28.5,11.6,1,83,0.2,0.8,6.8,41950,536809.8,510151.9,22.7,90.36,4,1993.01
45,Barisal,1994,1,29.6,12.2,4,71,0.4,0.4,7.7,41950,536809.8,510151.9,22.7,90.36,4,1994.01
46,Barisal,1995,1,29,10.7,1,73,0.4,1.7,6.8,41950,536809.8,510151.9,22.7,90.36,4,1995.01
47,Barisal,1996,1,29.4,12.4,0,80,0.2,0.5,8.2,41950,536809.8,510151.9,22.7,90.36,4,1996.01
48,Barisal,1997,1,28.2,10.7,1,79,0.3,1.1,7.5,41950,536809.8,510151.9,22.7,90.36,4,1997.01
49,Barisal,1998,1,29,11.8,148,88,0.7,2.4,5.5,41950,536809.8,510151.9,22.7,90.36,4,1998.01
50,Barisal,1999,1,30,12.1,0,82,0.5,0.4,8.2,41950,536809.8,510151.9,22.7,90.36,4,1999.01
51,Barisal,2000,1,30,12.4,0,81,0.4,0.9,7.9,41950,536809.8,510151.9,22.7,90.36,4,2000.01
52,Barisal,2001,1,29.5,10.1,0,81,0.1,0.3,8.9,41950,536809.8,510151.9,22.7,90.36,4,2001.01
53,Barisal,2002,1,29,13,19,85,0.1,1.8,6.9,41950,536809.8,510151.9,22.7,90.36,4,2002.01
54,Barisal,2003,1,28.6,11.1,0,81,0.2,1.4,7.4,41950,536809.8,510151.9,22.7,90.36,4,2003.01
55,Barisal,2004,1,29,13,0,82,0.2,2.3,6,41950,536809.8,510151.9,22.7,90.36,4,2004.01
56,Barisal,2005,1,29.5,12.5,11,87,0.4,1.5,7.2,41950,536809.8,510151.9,22.7,90.36,4,2005.01
57,Barisal,2006,1,29.6,12.1,0,81,0.5,0.9,7.7,41950,536809.8,510151.9,22.7,90.36,4,2006.01
58,Barisal,2007,1,29.4,11.2,0,81,0.2,0.7,7.2,41950,536809.8,510151.9,22.7,90.36,4,2007.01
59,Barisal,2008,1,30,13.2,41,81,0.4,1.6,6.5,41950,536809.8,510151.9,22.7,90.36,4,2008.01
60,Barisal,2009,1,29,13.6,0,82,1.7,0.5,6.8,41950,536809.8,510151.9,22.7,90.36,4,2009.01
61,Barisal,2010,1,28.9,10.8,0,81,1.9,1,7.1,41950,536809.8,510151.9,22.7,90.36,4,2010.01
62,Barisal,2011,1,29,10.9,0,79,1,0.5,6.7,41950,536809.8,510151.9,22.7,90.36,4,2011.01
63,Barisal,2012,1,28.8,13,31,82,1.9,2,5.4,41950,536809.8,510151.9,22.7,90.36,4,2012.01
64,Barisal,2013,1,28.7,10.6,0,80,1.4,0.3,7.1,41950,536809.8,510151.9,22.7,90.36,4,2013.01
106,Barisal,1990,2,31.7,17.4,79,81,0.4,3.2,7.2,41950,536809.8,510151.9,22.7,90.36,4,1990.02
107,Barisal,1991,2,33.2,16.5,14,80,0.5,1,8.1,41950,536809.8,510151.9,22.7,90.36,4,1991.02
108,Barisal,1992,2,29.5,15.3,98,82,0.6,2,7.3,41950,536809.8,510151.9,22.7,90.36,4,1992.02
109,Barisal,1993,2,31.6,16.3,35,83,0.7,1.2,8.1,41950,536809.8,510151.9,22.7,90.36,4,1993.02
110,Barisal,1994,2,31,14.6,13,72,0.4,1.4,7.8,41950,536809.8,510151.9,22.7,90.36,4,1994.02
111,Barisal,1995,2,31,15,62,73,0.3,2.1,7,41950,536809.8,510151.9,22.7,90.36,4,1995.02
112,Barisal,1996,2,31.5,15,20,76,0.4,1.6,8.7,41950,536809.8,510151.9,22.7,90.36,4,1996.02
113,Barisal,1997,2,31.4,14.6,30,79,0.5,1.5,8.1,41950,536809.8,510151.9,22.7,90.36,4,1997.02
114,Barisal,1998,2,31.5,15.4,54,79,0.5,2,7.2,41950,536809.8,510151.9,22.7,90.36,4,1998.02
115,Barisal,1999,2,34.8,15.1,0,78,0.7,1.1,7.8,41950,536809.8,510151.9,22.7,90.36,4,1999.02
116,Barisal,2000,2,29.2,14.3,16,78,0.4,3.8,6.6,41950,536809.8,510151.9,22.7,90.36,4,2000.02
117,Barisal,2001,2,32.1,14.9,17,79,0.6,1.4,8.6,41950,536809.8,510151.9,22.7,90.36,4,2001.02
118,Barisal,2002,2,34,14.2,0,77,0.3,0.7,9.4,41950,536809.8,510151.9,22.7,90.36,4,2002.02
119,Barisal,2003,2,31.5,16.1,4,75,0.3,1.4,8.2,41950,536809.8,510151.9,22.7,90.36,4,2003.02
120,Barisal,2004,2,33.1,15.2,0,77,0.4,1.2,8.1,41950,536809.8,510151.9,22.7,90.36,4,2004.02
121,Barisal,2005,2,33.6,16.9,0,78,0.7,1.2,8.8,41950,536809.8,510151.9,22.7,90.36,4,2005.02
122,Barisal,2006,2,35.6,18.4,0,80,0.8,1.1,8.4,41950,536809.8,510151.9,22.7,90.36,4,2006.02
123,Barisal,2007,2,31.2,16,72,81,0.4,2,6.9,41950,536809.8,510151.9,22.7,90.36,4,2007.02
124,Barisal,2008,2,30,14.2,24,77,0.6,1.3,7.6,41950,536809.8,510151.9,22.7,90.36,4,2008.02
125,Barisal,2009,2,33.6,16,20,75,3.1,0.8,8.5,41950,536809.8,510151.9,22.7,90.36,4,2009.02
126,Barisal,2010,2,32.6,15.6,1,75,1.7,1.6,7.5,41950,536809.8,510151.9,22.7,90.36,4,2010.02
127,Barisal,2011,2,31.5,15.3,0,73,2,0.9,7.9,41950,536809.8,510151.9,22.7,90.36,4,2011.02
128,Barisal,2012,2,34.2,14.3,2,73,2.4,0.5,8.3,41950,536809.8,510151.9,22.7,90.36,4,2012.02
129,Barisal,2013,2,32.3,14.8,6,76,1.3,1.6,7.7,41950,536809.8,510151.9,22.7,90.36,4,2013.02
171,Barisal,1990,3,33.6,19,182,82,0.7,4,8.1,41950,536809.8,510151.9,22.7,90.36,4,1990.03
172,Barisal,1991,3,36.2,21.8,38,78,0.6,1.9,8.9,41950,536809.8,510151.9,22.7,90.36,4,1991.03
173,Barisal,1992,3,36,22.2,0,77,1.3,2.2,7.9,41950,536809.8,510151.9,22.7,90.36,4,1992.03
174,Barisal,1993,3,35.5,18.4,173,77,0.8,2,7.9,41950,536809.8,510151.9,22.7,90.36,4,1993.03
175,Barisal,1994,3,34.8,21.3,92,73,1.3,2.5,8.1,41950,536809.8,510151.9,22.7,90.36,4,1994.03
176,Barisal,1995,3,36.7,19.2,6,68,0.5,1.3,8.7,41950,536809.8,510151.9,22.7,90.36,4,1995.03
177,Barisal,1996,3,35.2,22.3,12,77,1.2,2.7,8,41950,536809.8,510151.9,22.7,90.36,4,1996.03
178,Barisal,1997,3,35,21.1,79,81,0.9,3.1,7.6,41950,536809.8,510151.9,22.7,90.36,4,1997.03
179,Barisal,1998,3,34.5,17.9,273,75,0.9,2.6,8.1,41950,536809.8,510151.9,22.7,90.36,4,1998.03
180,Barisal,1999,3,38,20.5,0,74,1.1,1.8,5.9,41950,536809.8,510151.9,22.7,90.36,4,1999.03
181,Barisal,2000,3,34.6,19.8,50,77,1.1,3.1,6.3,41950,536809.8,510151.9,22.7,90.36,4,2000.03
182,Barisal,2001,3,35.6,19,4,75,0.5,2,8,41950,536809.8,510151.9,22.7,90.36,4,2001.03
183,Barisal,2002,3,36,19.8,36,72,0.6,2.3,8,41950,536809.8,510151.9,22.7,90.36,4,2002.03
184,Barisal,2003,3,34.8,19.5,117,77,0.6,2.9,7.8,41950,536809.8,510151.9,22.7,90.36,4,2003.03
185,Barisal,2004,3,36.4,21.8,11,76,1.2,3,7.5,41950,536809.8,510151.9,22.7,90.36,4,2004.03
186,Barisal,2005,3,36,22.1,138,83,0.9,3.5,7.5,41950,536809.8,510151.9,22.7,90.36,4,2005.03
187,Barisal,2006,3,37.5,21,4,77,0.6,2.2,8.1,41950,536809.8,510151.9,22.7,90.36,4,2006.03
188,Barisal,2007,3,35.5,18.4,33,71,0.6,1.1,8.6,41950,536809.8,510151.9,22.7,90.36,4,2007.03
189,Barisal,2008,3,35,21.9,22,78,1,3.6,6.9,41950,536809.8,510151.9,22.7,90.36,4,2008.03
190,Barisal,2009,3,35,21.1,13,77,2.3,2.8,7.5,41950,536809.8,510151.9,22.7,90.36,4,2009.03
191,Barisal,2010,3,36.9,22.9,1,73,3.1,2.5,8.2,41950,536809.8,510151.9,22.7,90.36,4,2010.03
